votes,answers,views,question,tags,user,user_reputation,time_asked
224,10,112k,"I'm writing a Django Middleware class that I want to execute only once at startup, to initialise some other arbritary code. I've followed the very nice solution posted by sdolan here, but the ""Hello"" ...",python django,Bob_94,"2,415","asked Jul 22, 2011 at 15:00"
224,11,407k,How do you programmatically retrieve the number of columns in a pandas dataframe? I was hoping for something like: df.num_columns,python pandas dataframe,user1802143,13.1k,"asked Nov 30, 2013 at 6:28"
224,8,94k,How to do assert almost equal with py.test for floats without resorting to something like: assert x - 0.00001 <= y <= x + 0.00001 More specifically it will be useful to know a neat solution ...,python unit-testing pytest,Vladimir Keleshev,12.2k,"asked Dec 19, 2011 at 10:41"
224,5,147k,"I want to check the operating system (on the computer where the script runs). I know I can use os.system('uname -o') in Linux, but it gives me a message in the console, and I want to write to a ...",python linux operating-system,kolek,"3,160","asked Nov 21, 2011 at 23:40"
224,9,336k,"I'm trying to save a object to my database, but it's throwing a MultiValueDictKeyError error. The problems lies within the form, the is_private is represented by a checkbox. If the check box is NOT ...",python django exception,dotty,37.8k,"asked May 5, 2011 at 9:40"
224,11,235k,"The new version of Pandas uses the following interface to load Excel files: read_excel('path_to_file.xls', 'Sheet1', index_col=None, na_values=['NA']) but what if I don't know the sheets that are ...",python excel pandas openpyxl xlrd,Amelio Vazquez-Reina,81.1k,"asked Jul 31, 2013 at 17:57"
224,11,333k,"Is there a built-in/quick way to use a list of keys to a dictionary to get a list of corresponding items? For instance I have: >>> mydict = {'one': 1, 'two': 2, 'three': 3} >>> ...",python list dictionary key,FazJaxton,"6,807","asked Aug 26, 2013 at 21:45"
224,25,137k,"I'm looking for a way to update dict dictionary1 with the contents of dict update wihout overwriting levelA dictionary1={'level1':{'level2':{'levelA':0,'levelB':1}}} update={'level1':{'level2':{'...",python,jay_t,"3,013","asked Jul 12, 2010 at 23:01"
224,7,57k,"I'm trying to split my huge class into two; well, basically into the ""main"" class and a mixin with additional functions, like so: main.py file: import mymixin.py class Main(object, MyMixin):...",python python-3.5 python-3.4 type-hinting python-typing,velis,"6,971","asked Sep 28, 2016 at 7:21"
224,5,78k,"In other words, what's the sprintf equivalent to pprint?",python pretty-print pprint,drue,"4,403","asked Feb 6, 2009 at 18:25"
224,4,457k,"How to split this string where __ is the delimiter MATCHES__STRING To get an output of ['MATCHES', 'STRING']?",python string list split,Hulk,30.5k,"asked Aug 13, 2010 at 8:46"
224,5,274k,"I have a NumPy array 'boolarr' of boolean type. I want to count the number of elements whose values are True. Is there a NumPy or Python routine dedicated for this task? Or, do I need to iterate over ...",python arrays numpy count boolean,norio,"3,396","asked Dec 3, 2011 at 1:13"
224,14,218k,"I need to know if a python module exists, without importing it. Importing something that might not exist (not what I want): try: import eggs except ImportError: pass",python python-import,yarbelk,"6,215","asked Dec 27, 2012 at 6:17"
224,27,235k,I would like to be able to get the name of a variable as a string but I don't know if Python has that much introspection capabilities. Something like: >>> print(my_var.__name__) 'my_var' I ...,python string variables,e-satis,544k,"asked Mar 31, 2010 at 13:39"
224,6,69k,Is there a python convention for when you should implement __str__() versus __unicode__(). I've seen classes override __unicode__() more frequently than __str__() but it doesn't appear to be ...,python string unicode conventions,Cory,20.1k,"asked Aug 20, 2009 at 15:34"
224,2,111k,I am a ruby programmer trying to learn python. I am pretty familiar with pyenv since it is like a copy and paste from rbenv. Pyenv helps allow to have more than one version of python in a system and ...,python pip anaconda virtualenv pyenv,channa ly,"8,373","asked Jul 6, 2016 at 6:31"
223,18,151k,def index(request): latest_question_list = Question.objects.all().order_by('-pub_date')[:5] template = loader.get_template('polls/index.html') context = {'latest_question_list':...,python django django-views,buuencrypted,"2,553","asked Jul 17, 2017 at 2:45"
223,13,129k,"By default logging.Formatter('%(asctime)s') prints with the following format: 2011-06-09 10:54:40,638 where 638 is the millisecond. I need to change the comma to a dot: 2011-06-09 10:54:40.638 To ...",python logging time,Jonathan Livni,91.4k,"asked Jun 9, 2011 at 9:30"
223,9,250k,"I have a column in python pandas DataFrame that has boolean True/False values, but for further calculations I need 1/0 representation. Is there a quick pandas/numpy way to do that?",python pandas dataframe numpy boolean,Simon Righley,"3,846","asked Jun 29, 2013 at 17:53"
223,13,787k,"I am trying to create a .csv file with the values from a Python list. When I print the values in the list they are all unicode (?), i.e. they look something like this [u'value 1', u'value 2', ...] ...",python csv xlrd,Fortilan,"2,365","asked Jan 18, 2010 at 5:34"
223,6,300k,"Given two lists: x = [1,2,3] y = [4,5,6] What is the syntax to: Insert x into y such that y now looks like [1, 2, 3, [4, 5, 6]]? Insert all the items of x into y such that y now looks like [1, 2, 3,...",python list append extend,Soumya,"5,012","asked Sep 20, 2010 at 0:41"
223,11,336k,"I am running a simple python script in the server: import matplotlib.pyplot as plt import numpy as np x = np.random.randn(60) y = np.random.randn(60) plt.scatter(x, y, s=20) out_png = 'path/to/...",python matplotlib tkinter,Po-Yu Kao,"2,417","asked Jun 3, 2016 at 0:45"
223,4,352k,"How to draw a rectangle on an image, like this: import matplotlib.pyplot as plt from PIL import Image import numpy as np im = np.array(Image.open('dog.png'), dtype=np.uint8) plt.imshow(im) I don't ...",python image matplotlib,KAI ZHAO,"2,535","asked May 25, 2016 at 11:10"
223,7,188k,"I have a list of dictionaries that looks something like this: toCSV = [{'name':'bob','age':25,'weight':200},{'name':'jim','age':31,'weight':180}] What should I do to convert this to a csv file that ...",python csv dictionary data-conversion,backus,"3,647","asked Jun 21, 2010 at 17:36"
223,7,456k,"I have a simple DataFrame like the following: I want to select all values from the 'First Season' column and replace those that are over 1990 by 1. In this example, only Baltimore Ravens would have ...",python pandas dataframe,ichimok,"2,367","asked Jul 20, 2015 at 8:35"
223,2,175k,"Possible Duplicate: A Transpose/Unzip Function in Python I have a list that looks like this: list = (('1','a'),('2','b'),('3','c'),('4','d')) I want to separate the list in 2 lists. list1 = ('...",python list tuples,Breixo,"2,400","asked Sep 26, 2011 at 17:33"
223,7,367k,I'm looking for an HTML Parser module for Python that can help me get the tags in the form of Python lists/dictionaries/objects. If I have a document of the form: <html> <head>Heading<...,python xml-parsing html-parsing,ffledgling,10.3k,"asked Jul 29, 2012 at 12:00"
223,8,150k,"Not many are aware of this feature, but Python's functions (and methods) can have attributes. Behold: >>> def foo(x): ... pass ... >>> foo.score = 10 >>> dir(foo) [...",python function attributes,Eli Bendersky,244k,"asked Dec 3, 2008 at 17:56"
223,12,573k,"Let's say I have a list a in Python whose entries conveniently map to a dictionary. Each even element represents the key to the dictionary, and the following odd element is the value for example, a =...",python list dictionary,Mike,55.8k,"asked Jan 1, 2011 at 22:29"
223,9,259k,"Consider the following code: avgDists = np.array([1, 8, 6, 9, 4]) ids = avgDists.argsort()[:n] This gives me indices of the n smallest elements. Is it possible to use this same argsort in descending ...",python numpy,shn,"4,619","asked May 10, 2013 at 15:57"
223,4,128k,"I have the following function: def my_func(): """"""My docstring is both funny and informative"""""" pass How do I get access to the docstring?",python,Teifion,102k,"asked Apr 3, 2009 at 9:04"
223,4,86k,Is there any significant difference between pip install -e /path/to/mypackage and the setuptools variant? python /path/to/mypackage/setup.py develop,python pip setuptools python-packaging,PeterE,"5,435","asked May 18, 2015 at 14:37"
223,5,155k,I've recently seen the --no-cache-dir being used in a Docker file. I've never seen that flag before and the help is not explaining it: --no-cache-dir Disable the cache. Question: What ...,python pip,Martin Thoma,104k,"asked Aug 9, 2017 at 15:20"
222,7,455k,I have used spline interpolation to smooth a time series and would also like to add a horizontal line to the plot. But there seems to be an issue that is out of my grips. Any assistance would be ...,python matplotlib,Ibe,"4,135","asked Oct 28, 2015 at 3:53"
222,7,199k,"I cannot get the colorbar on imshow graphs like this one to be the same height as the graph, short of using Photoshop after the fact. How do I get the heights to match?",python image matplotlib,Elliot,"4,531","asked Aug 12, 2013 at 20:06"
222,4,277k,"I'm trying to get the current url after a series of navigations in Selenium. I know there's a command called getLocation for ruby, but I can't find the syntax for Python.",python selenium selenium-webdriver,user2276896,"2,314","asked Apr 13, 2013 at 7:20"
222,9,138k,"Take this very simple form for example: class SearchForm(Form): q = forms.CharField(label='search') This gets rendered in the template: <input type=""text"" name=""q"" id=""id_q"" /> However, ...",python django django-forms,Joelbitar,"3,350","asked Nov 4, 2010 at 20:51"
222,9,334k,"Now I know that it is not safe to modify the list during an iterative looping. However, suppose I have a list of strings, and I want to strip the strings themselves. Does replacement of mutable values ...",python,alexgolec,24.5k,"asked Nov 2, 2010 at 19:04"
222,14,281k,"Given a pandas dataframe containing possible NaN values scattered here and there: Question: How do I determine which columns contain NaN values? In particular, can I get a list of the column names ...",python pandas dataframe nan,jesperk.eth,"5,741","asked Mar 25, 2016 at 18:50"
222,3,59k,I was told that += can have different effects than the standard notation of i = i +. Is there a case in which i += 1 would be different from i = i + 1?,python operators,MarJamRob,"3,295","asked Mar 13, 2013 at 3:24"
222,12,99k,"Technically, any odd number of backslashes, as described in the documentation. >>> r'\' File ""<stdin>"", line 1 r'\' ^ SyntaxError: EOL while scanning string literal >&...",python string literals rawstring,cdleary,66.2k,"asked Mar 15, 2009 at 12:54"
222,8,225k,"I would like to cleanly filter a dataframe using regex on one of the columns. For a contrived example: In [210]: foo = pd.DataFrame({'a' : [1,2,3,4], 'b' : ['hi', 'foo', 'fat', 'cat']}) In [211]: ...",python regex pandas,justinvf,"2,589","asked Mar 10, 2013 at 17:23"
222,5,116k,"What must I do to use my objects of a custom type as keys in a Python dictionary (where I don't want the ""object id"" to act as the key) , e.g. class MyThing: def __init__(self,name,location,...",python dictionary,Anonym,"6,885","asked Feb 4, 2011 at 18:51"
222,7,118k,I'm not asking about Python's scoping rules; I understand generally how scoping works in Python for loops. My question is why the design decisions were made in this way. For example (no pun intended): ...,python scope,chimeracoder,18.7k,"asked Aug 31, 2010 at 17:52"
221,10,283k,"Given a string as user input to a Python function, I'd like to get a class object out of it if there's a class with that name in the currently defined namespace. Essentially, I want the implementation ...",python,spitfire,"asked Jul 24, 2009 at 7:01","asked Jul 24, 2009 at 7:01"
221,17,1.5m,I am using python to work out how many children would be born in 5 years if a child was born every 7 seconds. The problem is on my last line. How do I get a variable to work when I'm printing text ...,python string variables printing,Bob Uni,"2,341","asked Jun 17, 2013 at 17:58"
221,4,144k,"I get some error that I can't figure out. Any clue what is wrong with my sample code? class B: def meth(self, arg): print arg class C(B): def meth(self, arg): super(C, self)....",python object inheritance parent super,Ehsan Foroughi,"2,860","asked Nov 11, 2009 at 4:36"
221,6,417k,I am using matplotlib to create the plots. I have to identify each plot with a different color which should be automatically generated by Python. Can you please give me a method to put different ...,python colors matplotlib,pottigopi,"2,219","asked Jan 26, 2011 at 13:25"
221,7,379k,I have a script and I want one function to run at the same time as the other. The example code I have looked at: import threading def MyThread (threading.thread): # doing something........ def ...,python multithreading,chrisg,37.9k,"asked May 25, 2010 at 15:15"
221,6,142k,"Is there a way to select random rows from a DataFrame in Pandas. In R, using the car package, there is a useful function some(x, n) which is similar to head but selects, in this example, 10 rows at ...",python pandas random,John,36.3k,"asked Apr 10, 2013 at 10:52"
221,9,281k,Anyone know of a simple library or function to parse a csv encoded string and turn it into an array or dictionary? I don't think I want the built in csv module because in all the examples I've seen ...,python string arrays csv,Drew LeSueur,17.6k,"asked Jul 22, 2010 at 5:08"
221,10,339k,"After E0_copy = list(E0), I guess E0_copy is a deep copy of E0 since id(E0) is not equal to id(E0_copy). Then I modify E0_copy in the loop, but why is E0 not the same after? E0 = [[1, 2, 3], [4, 5, 6],...",python list copy deep-copy,Shen,"2,463","asked Jul 26, 2013 at 5:12"
221,7,378k,"Given a string that is a sequence of several values separated by a commma: mStr = 'A,B,C,D,E' How do I convert the string to a list? mList = ['A', 'B', 'C', 'D', 'E']",python parsing list tuples,O.rka,26.6k,"asked Oct 21, 2011 at 1:33"
221,6,452k,"What is the best way to represent a Windows directory, for example ""C:\meshes\as""? I have been trying to modify a script but it never works because I can't seem to get the directory right, I assume ...",python path string-literals,Gareth,"2,962","asked Jun 1, 2010 at 22:29"
221,8,309k,"How do I retrieve the exit code when using Python's subprocess module and the communicate() method? Relevant code: import subprocess as sp data = sp.Popen(openRTSP + opts.split(), stdout=sp.PIPE)....",python subprocess,CarpeNoctem,"5,148","asked Apr 12, 2011 at 7:11"
221,6,137k,"I do not understand the following example, let's say I have these functions: # python likes def save(filename, data, **kwargs): fo = openX(filename, ""w"", **kwargs) # <- #1 fo....",python,user945967,"asked Mar 26, 2012 at 6:28","asked Mar 26, 2012 at 6:28"
220,21,255k,"I'm practicing the code from 'Web Scraping with Python', and I keep having this certificate problem: from urllib.request import urlopen from bs4 import BeautifulSoup import re pages = set() def ...",python web-scraping beautifulsoup scrapy ssl-certificate,Catherine4j,"2,232","asked May 8, 2018 at 14:32"
220,8,315k,"I'm new to Python and I have a simple question, say I have a list of items: ['apple','red','apple','red','red','pear'] Whats the simpliest way to add the list items to a dictionary and count how ...",python,Sophie,"2,201","asked Aug 16, 2010 at 19:19"
220,5,39k,"Having spent a decent amount of time watching both the r and pandas tags on SO, the impression that I get is that pandas questions are less likely to contain reproducible data. This is something that ...",python pandas,Marius,53.9k,"asked Nov 20, 2013 at 23:31"
220,6,268k,I want to create a new column in a pandas data frame by applying a function to two existing columns. Following this answer I've been able to create a new column when I only need one column as an ...,python pandas,Michael,11.5k,"asked Nov 11, 2013 at 20:07"
220,6,306k,"I am having an issue trying to get my date ticks rotated in matplotlib. A small sample program is below. If I try to rotate the ticks at the end, the ticks do not get rotated. If I try to rotate the ...",python matplotlib,Neal,"6,185","asked Jun 29, 2012 at 15:22"
220,16,433k,"I have a dataframe that consist of hundreds of columns, and I need to see all column names. What I did: In[37]: data_all2.columns The output is: Out[37]: Index(['customer_id', 'incoming', '...",python pandas dataframe options,Nabih Bawazir,"4,733","asked Mar 9, 2018 at 7:49"
220,19,304k,I had two versions of Python installed on my machine (versions 2.6 and 2.5). I want to run 2.6 for one project and 2.5 for another. How can I specify which I want to use? I am working on Windows XP ...,python windows python-3.x compatibility python-2.x,Bilal Basharat,"2,736","asked Jan 3, 2011 at 9:30"
220,12,94k,"When I try to test any app with command (I noticed it when I tried to deploy myproject using fabric, which uses this command): python manage.py test appname I get this error: Creating test database ...",python sql django postgresql django-testing,Andrius,16.8k,"asked Jan 6, 2013 at 19:51"
220,5,208k,"Suppose I have pandas DataFrame like this: >>> df = pd.DataFrame({'id':[1,1,1,2,2,2,2,3,4],'value':[1,2,3,1,2,3,4,1,1]}) >>> df id value 0 1 1 1 1 2 2 1 3 3 ...",python pandas greatest-n-per-group window-functions top-n,Roman Pekar,98k,"asked Nov 19, 2013 at 10:28"
220,3,379k,"I have a simple problem, but I cannot find a good solution to it. I want to take a NumPy 2D array which represents a grayscale image, and convert it to an RGB PIL image while applying some of the ...",python numpy matplotlib python-imaging-library color-mapping,heltonbiker,24.7k,"asked Jun 9, 2012 at 23:48"
220,10,208k,"I have a dataframe where some cells contain lists of multiple values. Rather than storing multiple values in a cell, I'd like to expand the dataframe so that each item in the list gets its own row (...",python pandas list,Marius,53.9k,"asked Dec 3, 2014 at 4:44"
220,10,239k,"There's an existing function that ends in the following, where d is a dictionary: return d.iteritems() that returns an unsorted iterator for a given dictionary. I would like to return an iterator ...",python sorting dictionary,mike,43.2k,"asked Dec 12, 2008 at 23:57"
220,6,123k,TensorFlow has two ways to evaluate part of graph: Session.run on a list of variables and Tensor.eval. Is there a difference between these two?,python tensorflow,Geoffrey Irving,"6,355","asked Nov 9, 2015 at 13:52"
220,6,131k,Why does pandas make a distinction between a Series and a single-column DataFrame? In other words: what is the reason of existence of the Series class? I'm mainly using time series with datetime ...,python pandas,saroele,"8,341","asked Sep 25, 2014 at 20:09"
219,26,317k,What is an efficient way to find the most common element in a Python list? My list items may not be hashable so can't use a dictionary. Also in case of draws the item with the lowest index should be ...,python list,hoju,26.4k,"asked Oct 5, 2009 at 6:35"
219,16,234k,"I keep getting this : DeprecationWarning: integer argument expected, got float How do I make this message go away? Is there a way to avoid warnings in Python?",python warnings deprecated,Mohammed,"2,363","asked May 18, 2009 at 18:42"
219,3,380k,"I have pandas dataframe df1 and df2 (df1 is vanila dataframe, df2 is indexed by 'STK_ID' & 'RPT_Date') : >>> df1 STK_ID RPT_Date TClose sales discount 0 000568 20060331 3....",python pandas dataframe,bigbug,47.1k,"asked Feb 2, 2013 at 14:40"
219,13,508k,"I have a dictionary d = {1:-0.3246, 2:-0.9185, 3:-3985, ...}. How do I extract all of the values of d into a list l?",python dictionary extract,Naveen C.,"2,785","asked Aug 9, 2011 at 20:22"
219,22,162k,"Let's say I have a list of dictionaries: [ {'id': 1, 'name': 'john', 'age': 34}, {'id': 1, 'name': 'john', 'age': 34}, {'id': 2, 'name': 'hanna', 'age': 30}, ] How can I obtain a list of ...",python dictionary,Limaaf,"2,846","asked Jun 18, 2012 at 23:30"
219,14,526k,"I have two times, a start and a stop time, in the format of 10:33:26 (HH:MM:SS). I need the difference between the two times. I've been looking through documentation for Python and searching online ...",python time python-2.6,Hannah,"2,547","asked Jun 22, 2010 at 20:38"
219,12,373k,"How do I strip all the spaces in a python string? For example, I want a string like strip my spaces to be turned into stripmyspaces, but I cannot seem to accomplish that with strip(): >>> '...",python python-3.x spaces strip,wrongusername,17.5k,"asked Sep 18, 2010 at 0:42"
219,7,279k,How can one modify the format for the output from a groupby operation in pandas that produces scientific notation for very large numbers? I know how to do string formatting in python but I'm at a ...,python pandas floating-point scientific-notation number-formatting,horatio1701d,"7,569","asked Jan 15, 2014 at 12:14"
219,19,280k,I tried to use the matplotlib package via Pycharm IDE on windows 10. when I run this code: from matplotlib import pyplot I get the following error: ImportError: No module named 'tkinter' I know ...,python matplotlib tkinter,noamgot,"3,810","asked Mar 31, 2016 at 7:42"
219,12,474k,"Just a short, simple one about the excellent Requests module for Python. I can't seem to find in the documentation what the variable 'proxies' should contain. When I send it a dict with a standard ""...",python http-request python-requests,user1064306,"asked Nov 27, 2011 at 17:50","asked Nov 27, 2011 at 17:50"
219,13,377k,I want to find all values in a Pandas dataframe that contain whitespace (any arbitrary amount) and replace those values with NaNs. Any ideas how this can be improved? Basically I want to turn this: ...,python pandas dataframe,Chris Clark,"4,094","asked Nov 18, 2012 at 22:22"
219,25,108k,"Although I have never needed this, it just struck me that making an immutable object in Python could be slightly tricky. You can't just override __setattr__, because then you can't even set attributes ...",python python-3.x immutability,Lennart Regebro,157k,"asked Jan 28, 2011 at 12:14"
219,9,86k,I have a Python module that uses the argparse library. How do I write tests for that section of the code base?,python unit-testing argparse,pydanny,"7,264","asked Aug 10, 2013 at 8:25"
219,5,74k,"If you open a Python interpreter, and type ""import this"", as you know, it prints: The Zen of Python, by Tim Peters Beautiful is better than ugly. Explicit is better than implicit. Simple ...",python,byterussian,"3,391","asked May 2, 2011 at 9:56"
218,8,405k,"I have this program that calculates the time taken to answer a specific question, and quits out of the while loop when answer is incorrect, but i want to delete the last calculation, so i can call min(...",python time python-3.x,Samir,"2,529","asked Aug 11, 2013 at 8:02"
218,21,298k,I have an error message on Django 1.4: dictionary update sequence element #0 has length 1; 2 is required It happened when I tried using a template tag like: {% for v in values %}: dictionary update ...,python django uwsgi,user2575627,"2,191","asked Jul 12, 2013 at 8:32"
218,10,259k,"Given a list of integers, I want to find which number is the closest to a number I give in input: >>> myList = [4, 1, 88, 44, 3] >>> myNumber = 5 >>> takeClosest(myList, ...",python list sorting integer,Ricky Robinson,19.5k,"asked Aug 27, 2012 at 11:32"
218,14,384k,"I know I could implement a root mean squared error function like this: def rmse(predictions, targets): return np.sqrt(((predictions - targets) ** 2).mean()) What I'm looking for if this rmse ...",python scikit-learn scipy,siamii,21.7k,"asked Jun 19, 2013 at 17:24"
218,3,314k,"I am able to get the current time as below: from datetime import datetime str(datetime.now())[11:19] Result '19:43:20' Now, I am trying to add 9 hours to the above time, how can I add hours to ...",python time add timedelta,Shiva Krishna Bavandla,22.8k,"asked Dec 3, 2012 at 14:23"
218,6,58k,"Partial application is cool. What functionality does functools.partial offer that you can't get through lambdas? >>> sum = lambda x, y : x + y >>> sum(1, 2) 3 >>> incr = ...",python functional-programming partial-application,Nick Heiner,113k,"asked Jul 15, 2010 at 3:16"
218,3,303k,DataFrame: c_os_family_ss c_os_major_is l_customer_id_i 0 Windows 7 90418 1 Windows 7 90418 2 Windows 7 90418 ...,python pandas dataframe iteration pandas-groupby,Tjorriemorrie,15.4k,"asked Dec 10, 2014 at 16:01"
218,5,178k,"I'm working on a documentation (personal) for nested matplotlib (MPL) library, which differs from MPL own provided, by interested submodule packages. I'm writing Python script which I hope will ...",python matplotlib,theta,22.5k,"asked Jan 3, 2012 at 21:29"
218,14,388k,"This code works and sends me an email just fine: import smtplib #SERVER = ""localhost"" FROM = 'monty@python.com' TO = [""jon@mycompany.com""] # must be a list SUBJECT = ""Hello!"" TEXT = ""This ...",python email function smtplib,cloud311,"2,721","asked Jun 7, 2011 at 19:48"
218,1,171k,"I am trying to do a scatter plot in matplotlib and I couldn't find a way to add tags to the points. For example: scatter1=plt.scatter(data1[""x""], data1[""y""], marker=""o"", c=""blue"",...",python matplotlib,J. Velazquez-Muriel,"2,751","asked Feb 28, 2011 at 20:21"
218,9,380k,Is it possible to get some information out of the .pyc file that is generated from a .py file?,python decompiling pyc compiled,Howard,"2,181","asked Mar 13, 2011 at 3:43"
218,15,132k,Is it possible to do following without the i? for i in range(some_number): # do something If you just want to do something N amount of times and don't need the iterator.,python loops for-loop range,"3 revs, 2 users 57%",James McMahon,James McMahon
218,3,174k,My package has the following structure: mobilescouter/ __init__.py #1 mapper/ __init__.py #2 lxml/ __init__.py #3 vehiclemapper.py ...,python packages,Marten Bauer,"2,183","asked Dec 22, 2009 at 6:48"
218,13,158k,"This may seem like a newbie question, but it is not. Some common approaches don't work in all cases: sys.argv[0] This means using path = os.path.abspath(os.path.dirname(sys.argv[0])), but this does ...",python path directory,sorin,146k,"asked Apr 13, 2010 at 18:37"
217,10,370k,"I have a list of items that likely has some export issues. I would like to get a list of the duplicate items so I can manually compare them. When I try to use pandas duplicated method, it only ...",python pandas duplicates,BigHandsome,"3,913","asked Feb 2, 2013 at 0:22"
217,15,807k,Sorry for this basic question but my searches on this are not turning up anything other than how to get a dictionary's key based on its value which I would prefer not to use as I simply want the text/...,python dictionary key,Rick,15.8k,"asked Aug 23, 2010 at 7:01"
217,8,249k,"I have the following plot: fig,ax = plt.subplots(5,2,sharex=True,sharey=True,figsize=fig_size) and now I would like to give this plot common x-axis labels and y-axis labels. With ""common"", I mean ...",python matplotlib,jolindbe,"2,322","asked Apr 22, 2013 at 15:25"
217,21,115k,"I have a data structure which essentially amounts to a nested dictionary. Let's say it looks like this: {'new jersey': {'mercer county': {'plumbers': 3, 'programmers'...",python data-structures dictionary mapping autovivification,YGA,"8,512","asked Mar 11, 2009 at 17:09"
217,5,138k,"Using Python 3's function annotations, it is possible to specify the type of items contained within a homogeneous list (or other collection) for the purpose of type hinting in PyCharm and other IDEs? ...",python python-3.x type-hinting python-typing,Eric W.,"5,588","asked Jul 20, 2014 at 19:08"
217,9,577k,"I'm pretty new to Python and am completely confused by .join() which I have read is the preferred method for concatenating strings. I tried: strid = repr(595) print array.array('c', random.sample(...",python list string,Matt McCormick,12.7k,"asked Dec 9, 2009 at 19:22"
217,10,120k,What's the easiest way to do a case-insensitive string replacement in Python?,python string case-insensitive,Adam Ernst,48.8k,"asked May 28, 2009 at 3:35"
217,11,428k,"I am a little confused about how this code works: fig, axes = plt.subplots(nrows=2, ncols=2) plt.show() How does the fig, axes work in this case? What does it do? Also why wouldn't this work to do ...",python pandas matplotlib seaborn subplot,bugsyb,"4,925","asked Jul 30, 2015 at 14:31"
217,7,264k,"I have noticed this in a couple of scripting languages, but in this example, I am using python. In many tutorials, they would start with #!/usr/bin/python3 on the first line. I don't understand why we ...",python scripting,KayleL,"2,453","asked Oct 6, 2011 at 4:29"
217,8,311k,I just need a python script that copies text to the clipboard. After the script gets executed i need the output of the text to be pasted to another source. Is it possible to write a python script ...,python clipboard pyperclip,iamsiva11,"2,299","asked Jun 16, 2012 at 12:32"
217,4,557k,I just finished writing code to make a plot using pylab in Python and now I would like to superimpose a grid of 10x10 onto the scatter plot. How do I do that? My current code is the following: x = ...,python matplotlib,LiamNeesonFan,"2,433","asked Nov 21, 2011 at 9:18"
217,4,119k,Is there a way (using conda update) that I can list outdated packages and select or bulk update (compatible) packages in Anaconda? It doesn't make much sense updating the packages individually as ...,python anaconda conda,Afloz,"3,475","asked Jul 25, 2014 at 15:06"
217,6,176k,"If you have a Colormap cmap, for example: cmap = matplotlib.cm.get_cmap('Spectral') How can you get a particular colour out of it between 0 and 1, where 0 is the first colour in the map and 1 is the ...",python matplotlib colors,LondonRob,61.3k,"asked Aug 20, 2014 at 15:12"
217,4,154k,I have to make a Lagrange polynomial in Python for a project I'm doing. I'm doing a barycentric style one to avoid using an explicit for-loop as opposed to a Newton's divided difference style one. The ...,python exception numpy warnings divide-by-zero,John K.,"2,273","asked Apr 10, 2013 at 18:36"
217,2,205k,"Is there a way to specify the running directory of command in Python's subprocess.Popen()? For example: Popen('c:\mytool\tool.exe', workingdir='d:\test\local') My Python script is located in C:\...",python subprocess popen,icn,15.8k,"asked Nov 6, 2009 at 3:06"
217,2,90k,"Possible Duplicate: What are “named tuples” in Python? What is the situation where a namedtuple should be used? When I looked into it, it looked like a way to make tuples more like ...",python,Jack_of_All_Trades,10.1k,"asked Mar 26, 2012 at 12:37"
217,6,138k,"What are the pros and cons of importing a Python module and/or function inside of a function, with respect to efficiency of speed and of memory? Does it re-import every time the function is run, or ...",python python-import,Tim McJilton,"6,054","asked Jun 22, 2010 at 16:24"
216,29,662k,"In Python, is there a way to ping a server through ICMP and return TRUE if the server responds, or FALSE if there is no response?",python python-3.x ping icmp,Kudu,"5,900","asked Jun 1, 2010 at 21:27"
216,14,242k,I am trying to write a Pandas dataframe (or can use a numpy array) to a mysql database using MysqlDB . MysqlDB doesn't seem understand 'nan' and my database throws out an error saying nan is not in ...,python pandas numpy mysql-python,FinDev,"3,867","asked Jan 4, 2013 at 18:26"
216,6,249k,"I have a CSV dumpfile from a Blackberry IPD backup, created using IPDDump. The date/time strings in here look something like this (where EST is an Australian time-zone): Tue Jun 22 07:46:22 EST 2010 ...",python datetime timezone,victorhooi,15.2k,"asked Jul 22, 2010 at 2:42"
216,7,412k,"I have a text string that starts with a number of spaces, varying between 2 & 4. What is the simplest way to remove the leading whitespace? (ie. remove everything before a certain character?) "" ...",python string whitespace trim,James Wanchai,"2,531","asked Jun 6, 2009 at 7:55"
216,12,399k,"I have a long list of lists of the following form --- a = [[1.2,'abc',3],[1.2,'werew',4],........,[1.4,'qew',2]] i.e. the values in the list are of different types -- float,int, strings.How do I ...",python file csv file-io python-2.7,user1403483,"asked Dec 26, 2012 at 7:43","asked Dec 26, 2012 at 7:43"
216,12,276k,"I have a set of X,Y data points (about 10k) that are easy to plot as a scatter plot but that I would like to represent as a heatmap. I looked through the examples in MatPlotLib and they all seem to ...",python matplotlib heatmap histogram2d,greye,"8,421","asked Mar 3, 2010 at 7:42"
216,4,454k,Let's assume an iteration in which we call a function without a return value. The way I think my program should behave is explained in this pseudocode: for element in some_list: foo(element) def ...,python function return,Aufwind,23.4k,"asked May 31, 2011 at 16:42"
216,5,70k,"I have read the official Flask documentation on Blueprints and even one or two blog posts on using them. I've even used them in my web app, but I don't completely understand what they are or how they ...",python flask wsgi,JoshieSimmons,"2,633","asked Jun 26, 2014 at 0:50"
216,18,114k,"The addition of collections.defaultdict in Python 2.5 greatly reduced the need for dict's setdefault method. This question is for our collective education: What is setdefault still useful for, today ...",python dictionary setdefault,Eli Bendersky,244k,"asked Aug 14, 2010 at 13:32"
